trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 29, 'filters': 123, 'kernel_size': 4, 'lstm_units': 166, 'dense_units': 23, 'dropout_rate': 0.16239780813448107, 'learning_rate': 1.493656855461762e-05, 'l2_reg': 0.0003967605077052988, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.009107179832624828), np.float64(0.0074531614191402544), np.float64(0.014488819210523989), np.float64(0.010170053218437272), np.float64(0.010223093842173523)]",0.010288461504579974
1,"{'lookback': 46, 'filters': 18, 'kernel_size': 5, 'lstm_units': 219, 'dense_units': 26, 'dropout_rate': 0.17272998688284025, 'learning_rate': 3.5498788321965036e-05, 'l2_reg': 8.179499475211674e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.007353859850952983), np.float64(0.006674533627630002), np.float64(0.015561527430580835), np.float64(0.010185909975967678), np.float64(0.010015433995485126)]",0.009958252976123325
2,"{'lookback': 32, 'filters': 48, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 30, 'dropout_rate': 0.2465447373174767, 'learning_rate': 0.00023345864076016249, 'l2_reg': 0.0002267398652378039, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007428782134933488), np.float64(0.006808547226269013), np.float64(0.013829019981686223), np.float64(0.010148505582759966), np.float64(0.009915866810915339)]",0.009626144347312805
3,"{'lookback': 36, 'filters': 82, 'kernel_size': 2, 'lstm_units': 168, 'dense_units': 24, 'dropout_rate': 0.12602063719411183, 'learning_rate': 0.007025166339242158, 'l2_reg': 0.0007886714129990489, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.009537608646786332), np.float64(0.007367227926950798), np.float64(0.011737341123289622), np.float64(0.010053448955082384), np.float64(0.009806730388030578)]",0.009700471408027943
4,"{'lookback': 25, 'filters': 27, 'kernel_size': 4, 'lstm_units': 131, 'dense_units': 21, 'dropout_rate': 0.29807076404450805, 'learning_rate': 1.2681352169084594e-05, 'l2_reg': 0.0005345166110646819, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007496749491480438), np.float64(0.0069221181907092345), np.float64(0.016460718247898458), np.float64(0.010219064014210112), np.float64(0.009908299342169451)]",0.010201389857293538
5,"{'lookback': 43, 'filters': 51, 'kernel_size': 4, 'lstm_units': 155, 'dense_units': 25, 'dropout_rate': 0.48783385110582345, 'learning_rate': 0.002115429079726122, 'l2_reg': 0.0006584106160121611, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.00934122728020586), np.float64(0.010127777674756925), np.float64(0.01190807181690917), np.float64(0.009967629969207342), np.float64(0.010027918993586347)]",0.01027452514693313
6,"{'lookback': 40, 'filters': 120, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 18, 'dropout_rate': 0.23013213230530574, 'learning_rate': 0.00014656553886225324, 'l2_reg': 6.516990611177181e-06, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.007453155069701751), np.float64(0.006768485200860772), np.float64(0.01218414511860601), np.float64(0.010623196653641566), np.float64(0.009977867584229007)]",0.009401369925407821
7,"{'lookback': 28, 'filters': 47, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 55, 'dropout_rate': 0.12982025747190834, 'learning_rate': 0.009133995846860976, 'l2_reg': 0.00020736445177905034, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00734690865697225), np.float64(0.006757763876954112), np.float64(0.01162383455883485), np.float64(0.010023346745258888), np.float64(0.009748127750699926)]",0.009099996317744006
8,"{'lookback': 10, 'filters': 108, 'kernel_size': 4, 'lstm_units': 196, 'dense_units': 53, 'dropout_rate': 0.12961786069363615, 'learning_rate': 0.0001189589673755355, 'l2_reg': 2.2264204303769692e-06, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.007827397355052312), np.float64(0.008615600567623232), np.float64(0.017191614525097293), np.float64(0.010117993744575414), np.float64(0.009893003605475629)]",0.010729121959564778
9,"{'lookback': 41, 'filters': 53, 'kernel_size': 2, 'lstm_units': 101, 'dense_units': 31, 'dropout_rate': 0.39184247133522565, 'learning_rate': 0.0008178476574339542, 'l2_reg': 0.0004588156549160974, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.0074647611849688695), np.float64(0.0068303977859924874), np.float64(0.012426871439077777), np.float64(0.009940479582462879), np.float64(0.00982015528240812)]",0.009296533054982027
10,"{'lookback': 58, 'filters': 84, 'kernel_size': 3, 'lstm_units': 36, 'dense_units': 64, 'dropout_rate': 0.3760988294276581, 'learning_rate': 0.00830067255810951, 'l2_reg': 7.45161797270886e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.0073933970141878995), np.float64(0.006657450942970368), np.float64(0.01167366294677009), np.float64(0.010260066415003809), np.float64(0.00974299018375308)]",0.00914551350053705
11,"{'lookback': 60, 'filters': 80, 'kernel_size': 3, 'lstm_units': 37, 'dense_units': 64, 'dropout_rate': 0.38107969310319945, 'learning_rate': 0.007972253125354385, 'l2_reg': 7.057245384856724e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.007407330377931114), np.float64(0.006746595447756993), np.float64(0.011643827603521634), np.float64(0.009962201411350778), np.float64(0.009756987907981768)]",0.009103388549708458
12,"{'lookback': 19, 'filters': 68, 'kernel_size': 3, 'lstm_units': 33, 'dense_units': 64, 'dropout_rate': 0.3870983927079959, 'learning_rate': 0.002069055008696335, 'l2_reg': 5.63447294020172e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.007361773226031444), np.float64(0.006676550583518542), np.float64(0.011667196013179925), np.float64(0.010004322480171812), np.float64(0.009893535838840868)]",0.009120675628348517
13,"{'lookback': 60, 'filters': 98, 'kernel_size': 5, 'lstm_units': 256, 'dense_units': 52, 'dropout_rate': 0.4523656395806503, 'learning_rate': 0.002732739070167148, 'l2_reg': 0.00011606159532098608, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007510079065444257), np.float64(0.006723200870701633), np.float64(0.011678838958311788), np.float64(0.009928782345137005), np.float64(0.009773006215800623)]",0.009122781491079061
14,"{'lookback': 52, 'filters': 37, 'kernel_size': 3, 'lstm_units': 104, 'dense_units': 54, 'dropout_rate': 0.3124496121405842, 'learning_rate': 0.000867271304746041, 'l2_reg': 2.3806140280317797e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.007500941754215283), np.float64(0.0066509819496788965), np.float64(0.011796838330467544), np.float64(0.009964948296249033), np.float64(0.009863592985237379)]",0.009155460663169626
15,"{'lookback': 22, 'filters': 63, 'kernel_size': 3, 'lstm_units': 66, 'dense_units': 44, 'dropout_rate': 0.31585078232918007, 'learning_rate': 0.008675145655490931, 'l2_reg': 1.6801430412653297e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007411088534753236), np.float64(0.006678593361433995), np.float64(0.011631482527406155), np.float64(0.009956693711957973), np.float64(0.009821999078410106)]",0.009099971442792293
16,"{'lookback': 18, 'filters': 65, 'kernel_size': 5, 'lstm_units': 78, 'dense_units': 43, 'dropout_rate': 0.298469252661187, 'learning_rate': 0.003206544261452799, 'l2_reg': 1.5751795786042598e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.00735561466030389), np.float64(0.006664408136118518), np.float64(0.012125914132818803), np.float64(0.009960657606130663), np.float64(0.009919746789717987)]",0.009205268265017972
17,"{'lookback': 23, 'filters': 36, 'kernel_size': 3, 'lstm_units': 115, 'dense_units': 42, 'dropout_rate': 0.23099623505712844, 'learning_rate': 0.0007625344687909921, 'l2_reg': 1.2850334707145365e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007499732306569188), np.float64(0.006686829160244136), np.float64(0.012631439704237253), np.float64(0.010068137795808911), np.float64(0.009752979320388771)]",0.009327823657449653
18,"{'lookback': 11, 'filters': 60, 'kernel_size': 3, 'lstm_units': 63, 'dense_units': 47, 'dropout_rate': 0.3331373493956985, 'learning_rate': 0.004528520079145237, 'l2_reg': 4.869302537251105e-06, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007348708533512648), np.float64(0.006669854891833181), np.float64(0.011632990258218512), np.float64(0.009969053883620693), np.float64(0.009826760180662886)]",0.009089473549569583
19,"{'lookback': 10, 'filters': 64, 'kernel_size': 2, 'lstm_units': 132, 'dense_units': 37, 'dropout_rate': 0.3379316739598307, 'learning_rate': 0.003999773365985969, 'l2_reg': 4.052552967664843e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.00883142453848672), np.float64(0.0067354054910864275), np.float64(0.012692499123840408), np.float64(0.009914588195485784), np.float64(0.009746725483012945)]",0.009584128566382456
20,"{'lookback': 16, 'filters': 89, 'kernel_size': 3, 'lstm_units': 85, 'dense_units': 48, 'dropout_rate': 0.4354348266823663, 'learning_rate': 0.0012424814685740775, 'l2_reg': 1.2231555739164748e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007359730816268588), np.float64(0.006671031763320737), np.float64(0.011985255436242738), np.float64(0.010077813701899028), np.float64(0.00979063906036242)]",0.009176894155618703
22,"{'lookback': 14, 'filters': 41, 'kernel_size': 4, 'lstm_units': 53, 'dense_units': 47, 'dropout_rate': 0.34707618130035506, 'learning_rate': 0.004939102542754969, 'l2_reg': 2.927022908119681e-06, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007368388833662079), np.float64(0.006656354010269385), np.float64(0.011713598385752519), np.float64(0.009941638755546512), np.float64(0.009827800889485564)]",0.009101556174943213
23,"{'lookback': 30, 'filters': 59, 'kernel_size': 3, 'lstm_units': 93, 'dense_units': 37, 'dropout_rate': 0.18605174105725922, 'learning_rate': 0.00978362029405639, 'l2_reg': 0.00018704422265413217, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0075128726647148755), np.float64(0.0066903257546342305), np.float64(0.011678206620150393), np.float64(0.010007885479729835), np.float64(0.009773543449301206)]",0.009132566793706106
24,"{'lookback': 22, 'filters': 71, 'kernel_size': 4, 'lstm_units': 60, 'dense_units': 46, 'dropout_rate': 0.2649011048051569, 'learning_rate': 0.0016796202548287921, 'l2_reg': 3.853976289029122e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007380457874834971), np.float64(0.006645166272087186), np.float64(0.012267931774247873), np.float64(0.01002975589668186), np.float64(0.009909241455902414)]",0.00924651065475086
26,"{'lookback': 13, 'filters': 76, 'kernel_size': 2, 'lstm_units': 51, 'dense_units': 39, 'dropout_rate': 0.33184150838860593, 'learning_rate': 0.004755013056819797, 'l2_reg': 1.1912030201239182e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007338377084603039), np.float64(0.006633746910664258), np.float64(0.011714799831711873), np.float64(0.009990501394021275), np.float64(0.009825128239452328)]",0.009100510692090554
31,"{'lookback': 13, 'filters': 76, 'kernel_size': 2, 'lstm_units': 49, 'dense_units': 39, 'dropout_rate': 0.34796313269119356, 'learning_rate': 0.004878026776136392, 'l2_reg': 1.0052322794207494e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.0073370284510076), np.float64(0.006672113565968689), np.float64(0.011753189446186862), np.float64(0.00997338833514329), np.float64(0.009812598593393517)]",0.00910966367833999
36,"{'lookback': 25, 'filters': 78, 'kernel_size': 3, 'lstm_units': 58, 'dense_units': 56, 'dropout_rate': 0.40996462389797267, 'learning_rate': 0.005839809997600179, 'l2_reg': 0.00030646394049037057, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.00743652210978194), np.float64(0.006684675245839383), np.float64(0.011788820742163733), np.float64(0.010027228780797407), np.float64(0.009748654039117115)]",0.009137180183539916
41,"{'lookback': 14, 'filters': 42, 'kernel_size': 4, 'lstm_units': 51, 'dense_units': 47, 'dropout_rate': 0.359636433811728, 'learning_rate': 0.004540818356271759, 'l2_reg': 3.5836666226687943e-06, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007359443358762763), np.float64(0.006681344891737985), np.float64(0.011697791586792421), np.float64(0.009929214886077453), np.float64(0.009802091428513338)]",0.009093977230376794
44,"{'lookback': 27, 'filters': 41, 'kernel_size': 4, 'lstm_units': 83, 'dense_units': 44, 'dropout_rate': 0.40434969109437047, 'learning_rate': 0.0024962074731591237, 'l2_reg': 5.267212272582406e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007371462292600773), np.float64(0.006683462840191417), np.float64(0.011818574761853618), np.float64(0.009970414752146262), np.float64(0.009783992395158944)]",0.009125581408390203
45,"{'lookback': 17, 'filters': 73, 'kernel_size': 4, 'lstm_units': 58, 'dense_units': 37, 'dropout_rate': 0.32129896946336184, 'learning_rate': 0.004081008429568453, 'l2_reg': 0.00011387856531919931, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.007368005952866901), np.float64(0.006674981814228637), np.float64(0.011751410161702825), np.float64(0.010027988753561246), np.float64(0.00977576697187591)]",0.009119630730847105
48,"{'lookback': 10, 'filters': 30, 'kernel_size': 5, 'lstm_units': 42, 'dense_units': 40, 'dropout_rate': 0.37622847155139283, 'learning_rate': 0.002992122986985568, 'l2_reg': 2.993830556185679e-05, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007360993670959309), np.float64(0.006653823573212687), np.float64(0.011906054654071895), np.float64(0.01001187560059355), np.float64(0.010014549756955883)]",0.009189459451158666
50,"{'lookback': 15, 'filters': 36, 'kernel_size': 2, 'lstm_units': 64, 'dense_units': 54, 'dropout_rate': 0.2977349004872155, 'learning_rate': 0.0051422144843514, 'l2_reg': 1.4520133500760402e-06, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.0074025845680333975), np.float64(0.006671904183759276), np.float64(0.011865648861947332), np.float64(0.00999377316401194), np.float64(0.009864061047080385)]",0.009159594364966467
52,"{'lookback': 19, 'filters': 40, 'kernel_size': 4, 'lstm_units': 53, 'dense_units': 44, 'dropout_rate': 0.3457032498899509, 'learning_rate': 0.007200697590678879, 'l2_reg': 8.256216104052756e-06, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.007357040107174872), np.float64(0.00665130023129762), np.float64(0.011699160095465896), np.float64(0.009972234280225258), np.float64(0.009828455614330683)]",0.009101638065698865
53,"{'lookback': 14, 'filters': 123, 'kernel_size': 4, 'lstm_units': 32, 'dense_units': 47, 'dropout_rate': 0.39419459364096443, 'learning_rate': 0.005245641838528214, 'l2_reg': 3.0049378484987553e-06, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.007374441268249985), np.float64(0.006646063064969664), np.float64(0.011831487033821414), np.float64(0.009950117786580746), np.float64(0.009746133424922738)]",0.00910964851570891
