trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 29, 'filters': 123, 'kernel_size': 4, 'lstm_units': 166, 'dense_units': 23, 'dropout_rate': 0.16239780813448107, 'learning_rate': 1.493656855461762e-05, 'l2_reg': 0.0003967605077052988, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.016317548314171627), np.float64(0.00740803626546197), np.float64(0.007621569012853265), np.float64(0.018694084680435725), np.float64(0.010501326795797968)]",0.012108513013744111
1,"{'lookback': 46, 'filters': 18, 'kernel_size': 5, 'lstm_units': 219, 'dense_units': 26, 'dropout_rate': 0.17272998688284025, 'learning_rate': 3.5498788321965036e-05, 'l2_reg': 8.179499475211674e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.017977814444915478), np.float64(0.00698874345149711), np.float64(0.007080682666963645), np.float64(0.015356807400737646), np.float64(0.010288512826944905)]",0.011538512158211755
2,"{'lookback': 32, 'filters': 48, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 30, 'dropout_rate': 0.2465447373174767, 'learning_rate': 0.00023345864076016249, 'l2_reg': 0.0002267398652378039, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.00858262164142498), np.float64(0.006759913617730164), np.float64(0.006895727173868361), np.float64(0.014575343248828455), np.float64(0.010339497289788164)]",0.009430620594328025
3,"{'lookback': 36, 'filters': 82, 'kernel_size': 2, 'lstm_units': 168, 'dense_units': 24, 'dropout_rate': 0.12602063719411183, 'learning_rate': 0.007025166339242158, 'l2_reg': 0.0007886714129990489, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.010619239576840828), np.float64(0.00968981906336104), np.float64(0.006926181348190285), np.float64(0.012516960979665329), np.float64(0.010249351405465143)]",0.010000310474704526
4,"{'lookback': 25, 'filters': 27, 'kernel_size': 4, 'lstm_units': 131, 'dense_units': 21, 'dropout_rate': 0.29807076404450805, 'learning_rate': 1.2681352169084594e-05, 'l2_reg': 0.0005345166110646819, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.009047586357010305), np.float64(0.007004502746272646), np.float64(0.0069922346567397094), np.float64(0.015295400857975778), np.float64(0.01040845361624944)]",0.009749635646849575
5,"{'lookback': 43, 'filters': 51, 'kernel_size': 4, 'lstm_units': 155, 'dense_units': 25, 'dropout_rate': 0.48783385110582345, 'learning_rate': 0.002115429079726122, 'l2_reg': 0.0006584106160121611, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.01009331915257619), np.float64(0.0160048984548072), np.float64(0.007162029324486417), np.float64(0.012688287279753543), np.float64(0.01028302378527315)]",0.0112463115993793
6,"{'lookback': 40, 'filters': 120, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 18, 'dropout_rate': 0.23013213230530574, 'learning_rate': 0.00014656553886225324, 'l2_reg': 6.516990611177181e-06, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.011294790419097034), np.float64(0.006898720325798843), np.float64(0.007004795349225287), np.float64(0.015818650197328903), np.float64(0.010903767800409948)]",0.010384144818372004
7,"{'lookback': 28, 'filters': 47, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 55, 'dropout_rate': 0.12982025747190834, 'learning_rate': 0.009133995846860976, 'l2_reg': 0.00020736445177905034, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.008450444068323848), np.float64(0.006600685651362709), np.float64(0.006888584097136907), np.float64(0.01249184764485988), np.float64(0.010248931249417722)]",0.008936098542220213
8,"{'lookback': 10, 'filters': 108, 'kernel_size': 4, 'lstm_units': 196, 'dense_units': 53, 'dropout_rate': 0.12961786069363615, 'learning_rate': 0.0001189589673755355, 'l2_reg': 2.2264204303769692e-06, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.008798438576725682), np.float64(0.008156085418783083), np.float64(0.006971902639134521), np.float64(0.01841266881415714), np.float64(0.010352684266384023)]",0.01053835594303689
9,"{'lookback': 41, 'filters': 53, 'kernel_size': 2, 'lstm_units': 101, 'dense_units': 31, 'dropout_rate': 0.39184247133522565, 'learning_rate': 0.0008178476574339542, 'l2_reg': 0.0004588156549160974, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.008641559778189405), np.float64(0.00669262749327638), np.float64(0.007005613559119886), np.float64(0.012830225796419214), np.float64(0.01021145685123335)]",0.009076296695647646
10,"{'lookback': 58, 'filters': 84, 'kernel_size': 3, 'lstm_units': 36, 'dense_units': 64, 'dropout_rate': 0.37609882942765804, 'learning_rate': 0.008300672558109517, 'l2_reg': 7.451617972708859e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008515158609709009), np.float64(0.006627812121992927), np.float64(0.006817629365574829), np.float64(0.012496988024309277), np.float64(0.010316180366723625)]",0.008954753697661934
11,"{'lookback': 60, 'filters': 80, 'kernel_size': 3, 'lstm_units': 37, 'dense_units': 64, 'dropout_rate': 0.3810796931031994, 'learning_rate': 0.007972253125354385, 'l2_reg': 7.057245384856724e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008594332789949822), np.float64(0.006685169736661085), np.float64(0.006868423531918168), np.float64(0.012552701879640535), np.float64(0.010371735635216848)]",0.00901447271467729
12,"{'lookback': 57, 'filters': 93, 'kernel_size': 3, 'lstm_units': 33, 'dense_units': 64, 'dropout_rate': 0.3835748642641749, 'learning_rate': 0.0020690550086963316, 'l2_reg': 5.63447294020173e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008403636460940438), np.float64(0.006706671430610602), np.float64(0.006919161723386373), np.float64(0.01258101416945041), np.float64(0.01027023175040591)]",0.008976143106958746
13,"{'lookback': 19, 'filters': 65, 'kernel_size': 5, 'lstm_units': 256, 'dense_units': 52, 'dropout_rate': 0.45008055035041256, 'learning_rate': 0.002732739070167148, 'l2_reg': 0.00011606159532098588, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.008699479865540162), np.float64(0.006603372330949956), np.float64(0.006886863349348757), np.float64(0.012595274340013821), np.float64(0.010266936317987493)]",0.009010385240768038
14,"{'lookback': 52, 'filters': 37, 'kernel_size': 3, 'lstm_units': 104, 'dense_units': 54, 'dropout_rate': 0.3124496121405842, 'learning_rate': 0.000867271304746041, 'l2_reg': 2.4935957260974702e-05, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(0.008570584334253162), np.float64(0.0066671439451447285), np.float64(0.0068727821033402366), np.float64(0.01306457263388682), np.float64(0.010256412294605197)]",0.009086299062246029
