seed,best_epoch,best_loss,best_val_loss,rmse_test,r2_test
0,5,5.506491117579962,5.704597420162624,41.46366715367174,0.9942941951279993
1,3,5.509196431833356,5.6769648809281605,41.29539935887274,0.9943404117375958
2,5,5.4762083347553,5.626016170259506,41.34731217670211,0.9943261733550358
7,6,5.463702735080514,5.695240626259456,46.37037171845883,0.9928638716764205
11,3,5.5090757851959555,5.699949166131398,41.22785067409245,0.9943589118649181
17,4,5.517209793077147,5.690637611207508,41.30194480089041,0.9943386174727032
21,2,5.511434462762648,5.720127514430454,41.31250468063141,0.9943357221532928
42,3,5.4712944543489845,5.6853439315917,41.26618295733387,0.9943484171964323
99,3,5.512836119607358,5.697733909364731,41.20492111129137,0.9943651848921606
123,7,5.384600382979198,5.646245782337491,44.17093456566141,0.9935247778507953
