trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 35, 'filters': 93, 'kernel_size': 4, 'lstm_units': 141, 'dense_units': 39, 'dropout_rate': 0.23899863008405067, 'learning_rate': 0.0005873671345397128, 'l2_reg': 0.0006697167353375248, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(49.17672596346116), np.float64(47.98928571363311), np.float64(46.8065215069434), np.float64(46.80391292878357), np.float64(48.941238177263564)]",47.94353685801696
1,"{'lookback': 49, 'filters': 33, 'kernel_size': 5, 'lstm_units': 171, 'dense_units': 42, 'dropout_rate': 0.24545624180177517, 'learning_rate': 0.00083140195149031, 'l2_reg': 0.00012439367209907224, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(51.78967977618885), np.float64(48.701022652734245), np.float64(51.55871315893294), np.float64(50.366412046462926), np.float64(50.60332513507403)]",50.603830553878595
2,"{'lookback': 37, 'filters': 50, 'kernel_size': 4, 'lstm_units': 81, 'dense_units': 46, 'dropout_rate': 0.29159046082342294, 'learning_rate': 0.001770651068448003, 'l2_reg': 0.0005254210669345883, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(49.41692564734216), np.float64(49.889782474937235), np.float64(52.507970058272), np.float64(47.992998233815), np.float64(45.85353961355601)]",49.13224320558449
3,"{'lookback': 41, 'filters': 70, 'kernel_size': 2, 'lstm_units': 142, 'dense_units': 40, 'dropout_rate': 0.2162628982463199, 'learning_rate': 0.0069429180797065376, 'l2_reg': 0.0009021655603568127, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(48.94131107901188), np.float64(48.939924828032105), np.float64(44.193782989338345), np.float64(48.942868124758995), np.float64(50.12868068750902)]",48.22931354173007
4,"{'lookback': 32, 'filters': 38, 'kernel_size': 4, 'lstm_units': 120, 'dense_units': 37, 'dropout_rate': 0.32379422752781756, 'learning_rate': 0.0005500192756455944, 'l2_reg': 0.000762119586423319, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(53.452443911838586), np.float64(51.07653561677854), np.float64(50.84446461738096), np.float64(48.94085749707661), np.float64(45.85285751193821)]",50.03343183100259
5,"{'lookback': 47, 'filters': 52, 'kernel_size': 4, 'lstm_units': 134, 'dense_units': 41, 'dropout_rate': 0.44239615694113965, 'learning_rate': 0.0042886729255868, 'l2_reg': 0.000834230969314674, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(56.53950211950086), np.float64(47.9884727613605), np.float64(49.182481254021184), np.float64(45.615979960086385), np.float64(45.140420379407615)]",48.89337129487531
6,"{'lookback': 44, 'filters': 91, 'kernel_size': 2, 'lstm_units': 89, 'dense_units': 34, 'dropout_rate': 0.28133258269081607, 'learning_rate': 0.0014688724849236795, 'l2_reg': 0.00011272058498680245, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(53.45196357919829), np.float64(50.363782812974804), np.float64(50.37027832250433), np.float64(49.41718580603665), np.float64(43.477229483871334)]",49.416088000917085
7,"{'lookback': 34, 'filters': 50, 'kernel_size': 4, 'lstm_units': 82, 'dense_units': 71, 'dropout_rate': 0.21863766091994272, 'learning_rate': 0.007714366810951193, 'l2_reg': 0.0005054562991054155, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(49.41448929340829), np.float64(46.56301846571584), np.float64(44.66791790510381), np.float64(51.79139599044793), np.float64(45.61364153939396)]",47.610092638813974
8,"{'lookback': 20, 'filters': 85, 'kernel_size': 4, 'lstm_units': 158, 'dense_units': 69, 'dropout_rate': 0.2185111629335226, 'learning_rate': 0.0013508457201964984, 'l2_reg': 7.074880787470712e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(51.31427721471846), np.float64(52.02674447087805), np.float64(47.99557489599839), np.float64(50.60592520759686), np.float64(48.94178304757579)]",50.17686096735351
9,"{'lookback': 45, 'filters': 53, 'kernel_size': 2, 'lstm_units': 104, 'dense_units': 47, 'dropout_rate': 0.38240154458451603, 'learning_rate': 0.0029286380168725445, 'l2_reg': 0.0007132805718188967, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(52.50336026475815), np.float64(48.226822472325935), np.float64(46.80652075026844), np.float64(47.27966216433599), np.float64(40.38963763035316)]",47.04120065640833
10,"{'lookback': 59, 'filters': 70, 'kernel_size': 2, 'lstm_units': 108, 'dense_units': 56, 'dropout_rate': 0.41299384781650844, 'learning_rate': 0.0030684415263794985, 'l2_reg': 0.00031911022703756404, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(45.85268447278131), np.float64(48.46477142725132), np.float64(44.19377420928364), np.float64(49.416576695181675), np.float64(45.14024608397037)]",46.61361057769366
11,"{'lookback': 60, 'filters': 68, 'kernel_size': 2, 'lstm_units': 107, 'dense_units': 56, 'dropout_rate': 0.4118821139391012, 'learning_rate': 0.0030870119122207453, 'l2_reg': 0.00030144139354222426, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(45.85263019980307), np.float64(48.940094420187066), np.float64(49.4194414416246), np.float64(51.554988298721426), np.float64(50.1275942274322)]",49.17894971755368
12,"{'lookback': 59, 'filters': 76, 'kernel_size': 3, 'lstm_units': 105, 'dense_units': 54, 'dropout_rate': 0.38043530570878176, 'learning_rate': 0.0028492293979921184, 'l2_reg': 0.0003008924023054037, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(52.502814975808754), np.float64(52.265704514618655), np.float64(46.806531409593724), np.float64(51.554894925127584), np.float64(44.18956078596036)]",49.463901322221815
13,"{'lookback': 55, 'filters': 59, 'kernel_size': 3, 'lstm_units': 65, 'dense_units': 59, 'dropout_rate': 0.37709715773677543, 'learning_rate': 0.004169589105291837, 'l2_reg': 0.0002216629005360471, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(53.690828581998865), np.float64(48.46512687554903), np.float64(46.09403383907166), np.float64(50.368243245172934), np.float64(49.178245563974485)]",49.559295621153396
14,"{'lookback': 52, 'filters': 60, 'kernel_size': 3, 'lstm_units': 192, 'dense_units': 80, 'dropout_rate': 0.36983896775885344, 'learning_rate': 0.0025841681631199034, 'l2_reg': 0.00037315417855605525, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(49.17813787798325), np.float64(49.6523052053727), np.float64(49.89414263048599), np.float64(44.19151058357028), np.float64(46.327302331351305)]",47.848679725752696
17,"{'lookback': 28, 'filters': 79, 'kernel_size': 3, 'lstm_units': 125, 'dense_units': 49, 'dropout_rate': 0.41655329706665095, 'learning_rate': 0.0010817366866944956, 'l2_reg': 0.00020880345532225605, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(45.613320831831075), np.float64(49.176897868762836), np.float64(49.894362386156715), np.float64(50.368267038693865), np.float64(53.45452884888163)]",49.70147539486523
