trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 29, 'filters': 123, 'kernel_size': 4, 'lstm_units': 166, 'dense_units': 23, 'dropout_rate': 0.16239780813448107, 'learning_rate': 1.493656855461762e-05, 'l2_reg': 0.0003967605077052988, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.05201779752619229), np.float64(0.0149161574540027), np.float64(0.01178022220585606), np.float64(0.027703538369534094), np.float64(0.02532586840962987)]",0.026348716793043004
1,"{'lookback': 46, 'filters': 18, 'kernel_size': 5, 'lstm_units': 219, 'dense_units': 26, 'dropout_rate': 0.17272998688284025, 'learning_rate': 3.5498788321965036e-05, 'l2_reg': 8.179499475211674e-06, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(0.02860228486838628), np.float64(0.011761315965161284), np.float64(0.011002119430287002), np.float64(0.02523917792840172), np.float64(0.025138836167049112)]",0.02034874687185708
2,"{'lookback': 32, 'filters': 48, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 30, 'dropout_rate': 0.2465447373174767, 'learning_rate': 0.00023345864076016249, 'l2_reg': 0.0002267398652378039, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.014496716890878282), np.float64(0.011839502529187364), np.float64(0.011021476652580735), np.float64(0.02431559962552487), np.float64(0.024585064049836357)]",0.017251671949601526
3,"{'lookback': 36, 'filters': 82, 'kernel_size': 2, 'lstm_units': 168, 'dense_units': 24, 'dropout_rate': 0.12602063719411183, 'learning_rate': 0.007025166339242158, 'l2_reg': 0.0007886714129990489, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.0178068134656143), np.float64(0.019404281722029303), np.float64(0.010764751624029251), np.float64(0.02382768453859045), np.float64(0.024763209309415567)]",0.019313348131935776
4,"{'lookback': 25, 'filters': 27, 'kernel_size': 4, 'lstm_units': 131, 'dense_units': 21, 'dropout_rate': 0.29807076404450805, 'learning_rate': 1.2681352169084594e-05, 'l2_reg': 0.0005345166110646819, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.02968179961447416), np.float64(0.012395100565943196), np.float64(0.011924074108836297), np.float64(0.02445272865788376), np.float64(0.025911773564462587)]",0.02087309530232
5,"{'lookback': 43, 'filters': 51, 'kernel_size': 4, 'lstm_units': 155, 'dense_units': 25, 'dropout_rate': 0.48783385110582345, 'learning_rate': 0.002115429079726122, 'l2_reg': 0.0006584106160121611, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.02172829603338209), np.float64(0.04998435812424828), np.float64(0.018606077345764947), np.float64(0.023806455670070045), np.float64(0.02478530823221466)]",0.027782099081136002
6,"{'lookback': 40, 'filters': 120, 'kernel_size': 2, 'lstm_units': 76, 'dense_units': 18, 'dropout_rate': 0.23013213230530574, 'learning_rate': 0.00014656553886225324, 'l2_reg': 6.516990611177181e-06, 'batch_size_exp': 8, 'batch_size': 256}","[np.float64(0.030205883635028467), np.float64(0.016024396453379844), np.float64(0.011419847053771732), np.float64(0.024143758152938923), np.float64(0.02628824196875862)]",0.021616425452775517
7,"{'lookback': 28, 'filters': 47, 'kernel_size': 4, 'lstm_units': 63, 'dense_units': 55, 'dropout_rate': 0.12982025747190834, 'learning_rate': 0.009133995846860976, 'l2_reg': 0.00020736445177905034, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(0.014393884952576477), np.float64(0.011647403993148925), np.float64(0.01080773365490107), np.float64(0.023680016143376836), np.float64(0.024814371919933086)]",0.01706868213278728
8,"{'lookback': 10, 'filters': 108, 'kernel_size': 4, 'lstm_units': 196, 'dense_units': 53, 'dropout_rate': 0.12961786069363615, 'learning_rate': 0.0001189589673755355, 'l2_reg': 2.2264204303769692e-06, 'batch_size_exp': 9, 'batch_size': 512}","[np.float64(0.018123711259670026), np.float64(0.012165452639174248), np.float64(0.011223087905161197), np.float64(0.024692616073325815), np.float64(0.025017971899141605)]",0.01824456795529458
9,"{'lookback': 41, 'filters': 53, 'kernel_size': 2, 'lstm_units': 101, 'dense_units': 31, 'dropout_rate': 0.39184247133522565, 'learning_rate': 0.0008178476574339542, 'l2_reg': 0.0004588156549160974, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(0.015572869153328395), np.float64(0.01168764615256344), np.float64(0.010765501228614756), np.float64(0.024139986805239773), np.float64(0.024747968215033795)]",0.017382794310956032
