trial_number,params,fold_rmses,mean_rmse
0,"{'lookback': 28, 'filters': 93, 'kernel_size': 4, 'lstm_units': 141, 'dense_units': 39, 'dropout_rate': 0.23899863008405067, 'learning_rate': 0.0005873671345397128, 'l2_reg': 0.0006697167353375248, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(48.05301907807872), np.float64(47.81050554097056), np.float64(50.51941624785148), np.float64(49.53104767999949), np.float64(48.55116871301323)]",48.893031451982694
1,"{'lookback': 40, 'filters': 33, 'kernel_size': 5, 'lstm_units': 171, 'dense_units': 42, 'dropout_rate': 0.24545624180177517, 'learning_rate': 0.00083140195149031, 'l2_reg': 0.00012439367209907224, 'batch_size_exp': 6, 'batch_size': 64}","[np.float64(53.68990872549382), np.float64(44.13310168524268), np.float64(45.126788657774426), np.float64(50.7576030517531), np.float64(49.285525244985806)]",48.598585473049965
2,"{'lookback': 30, 'filters': 50, 'kernel_size': 4, 'lstm_units': 81, 'dense_units': 46, 'dropout_rate': 0.29159046082342294, 'learning_rate': 0.001770651068448003, 'l2_reg': 0.0005254210669345883, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(50.998127171010694), np.float64(41.926080457482094), np.float64(52.4798412529399), np.float64(51.73942635784929), np.float64(49.53090086330107)]",49.33487522051661
3,"{'lookback': 33, 'filters': 70, 'kernel_size': 2, 'lstm_units': 142, 'dense_units': 40, 'dropout_rate': 0.2162628982463199, 'learning_rate': 0.0069429180797065376, 'l2_reg': 0.0009021655603568127, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(48.055042700915585), np.float64(43.39913039236388), np.float64(46.59655251173056), np.float64(51.492797094113534), np.float64(50.51191463804454)]",48.011087467433626
4,"{'lookback': 25, 'filters': 38, 'kernel_size': 4, 'lstm_units': 120, 'dense_units': 37, 'dropout_rate': 0.32379422752781756, 'learning_rate': 0.0005500192756455944, 'l2_reg': 0.000762119586423319, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(47.07261438284421), np.float64(50.99385573419528), np.float64(52.724383557518834), np.float64(48.7961294929619), np.float64(49.77483650875795)]",49.872363935255635
5,"{'lookback': 38, 'filters': 52, 'kernel_size': 4, 'lstm_units': 134, 'dense_units': 41, 'dropout_rate': 0.44239615694113965, 'learning_rate': 0.0042886729255868, 'l2_reg': 0.000834230969314674, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(50.75211588554866), np.float64(43.152912809629186), np.float64(45.12705815059616), np.float64(51.737253638014906), np.float64(48.55068344814314)]",47.86400478638642
6,"{'lookback': 36, 'filters': 91, 'kernel_size': 2, 'lstm_units': 89, 'dense_units': 34, 'dropout_rate': 0.28133258269081607, 'learning_rate': 0.0014688724849236795, 'l2_reg': 0.00011272058498680245, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(46.3370977825471), np.float64(44.62100494146393), np.float64(53.459385108331), np.float64(50.75633901942513), np.float64(49.03965219977719)]",48.84269581030887
7,"{'lookback': 27, 'filters': 50, 'kernel_size': 4, 'lstm_units': 82, 'dense_units': 71, 'dropout_rate': 0.21863766091994272, 'learning_rate': 0.007714366810951193, 'l2_reg': 0.0005054562991054155, 'batch_size_exp': 4, 'batch_size': 16}","[np.float64(50.50647962264989), np.float64(42.9066239436208), np.float64(50.51916500024079), np.float64(51.9804031592746), np.float64(50.02118015714602)]",49.18677037658642
8,"{'lookback': 15, 'filters': 85, 'kernel_size': 4, 'lstm_units': 158, 'dense_units': 69, 'dropout_rate': 0.2185111629335226, 'learning_rate': 0.0013508457201964984, 'l2_reg': 7.074880787470712e-05, 'batch_size_exp': 7, 'batch_size': 128}","[np.float64(50.750137480625995), np.float64(43.39724903414877), np.float64(51.01030648716101), np.float64(49.53388950698114), np.float64(48.55039848662519)]",48.64839619910842
9,"{'lookback': 37, 'filters': 53, 'kernel_size': 2, 'lstm_units': 104, 'dense_units': 47, 'dropout_rate': 0.38240154458451603, 'learning_rate': 0.0029286380168725445, 'l2_reg': 0.0007132805718188967, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(48.545353443118266), np.float64(42.416953320219164), np.float64(45.37223783953056), np.float64(51.24912293132677), np.float64(49.04005173922281)]",47.32474385468352
10,"{'lookback': 49, 'filters': 70, 'kernel_size': 2, 'lstm_units': 108, 'dense_units': 56, 'dropout_rate': 0.41299384781650844, 'learning_rate': 0.0030684415263794985, 'l2_reg': 0.00031911022703756404, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(49.035844295044456), np.float64(42.90903429394772), np.float64(44.881359593295116), np.float64(49.04159289927717), np.float64(47.32485218553217)]",46.63853665341932
11,"{'lookback': 50, 'filters': 68, 'kernel_size': 2, 'lstm_units': 107, 'dense_units': 56, 'dropout_rate': 0.4118821139391012, 'learning_rate': 0.0030870119122207453, 'l2_reg': 0.00030144139354222426, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(48.79204807296885), np.float64(44.86879541449934), np.float64(50.51920241830256), np.float64(53.94449106736944), np.float64(50.51182602586186)]",49.727272599800415
12,"{'lookback': 49, 'filters': 76, 'kernel_size': 3, 'lstm_units': 105, 'dense_units': 54, 'dropout_rate': 0.38043530570878176, 'learning_rate': 0.0028492293979921184, 'l2_reg': 0.0003008924023054037, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(50.016831870983474), np.float64(49.770359559658914), np.float64(49.04914173539302), np.float64(51.248271380616735), np.float64(51.00163073436861)]",50.21724705620415
13,"{'lookback': 45, 'filters': 59, 'kernel_size': 3, 'lstm_units': 65, 'dense_units': 59, 'dropout_rate': 0.37709715773677543, 'learning_rate': 0.004169589105291837, 'l2_reg': 0.0002216629005360471, 'batch_size_exp': 5, 'batch_size': 32}","[np.float64(51.2439212138694), np.float64(44.13354032353144), np.float64(48.31279955744454), np.float64(50.75807725359724), np.float64(51.24795166362391)]",49.13925800241331
